"# of Use","# de Uso"
"Error while saving this group. Please try again later.","Error al grabar este grupo. Por favor, intente más tarde."
"Exclude","Excluir"
"Expand All","Expand All"
"Failed","Falló"
"Failed to move file: %s","Falló en mover archivo: %s"
"Feature Products","Productos Destacados"
"Features","Caracteristicas"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","El nombre del modelo de filtro debe estar declarado"
"Filter must be as object. Set correct filter please","El filtro debe ser un objeto. Seleccione el filtro correcto"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"Filters must be as array","Los filtros deben ser cadenas"
"First Name","Nombre"
"Fixed","Fijo"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Para uso interno. Debe ser único y sin espacios"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Vista Delantera"
"Frontend Model","Modelo del Frontend"
"Frontend Properties","Propiedades del Frontend"
"Gallery","Galería"
"General Information","Información general"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Editable en forma global"
"Go to Home Page","Ir a la página de Inicio"
"Graduation","Graduación"
"Graphic Card","Tarjeta Gráfica"
"Graphic Card Ram","Memoria RAM de tarjeta gráfica"
"Grid","Cuadricula"
"Grouped Product","Producto Agrupado"
"Groups","Grupos"
"Hard Drive","Disco Duro"
"Height","Altura"
"Height Package","Altura del paquete"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Imagen"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Archivo de imagen no encontrado"
"Image not exists","La imagen no existe"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","El tipo de imagen y la información deben ser especificos para cada vista de tienda."
"In Stock","En existencia"
"In stock","En existencia"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Ink","Tinta"
"Input Type","Input Type"
"Input Validation for Store Owner","Validacion de entrada para el propietario de la tienda"
"Integer","Entero"
"Integer Number","Número entero"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","La opci&oacute;n del atributo especificada es inv&aacute;lida para el atributo %s (%s), se omite el registro"
"Invalid attribute set specified, skipping the record","El conjunto de atributos especificado es inválido, se omite el registro"
"Invalid block: %s","Block inválido: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Los IDs de las categorías son inválidos"
"Invalid image file type","El tipo de archivo de la imagen es inválido"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","El ID de opci&oacute;n especificado para %s (%s) es inv&aacute;lido, se omite el registro"
"Invalid product type specified, skipping the record","El tipo de producto especificado es inválido, omitiendo el registro"
"Invalid store specified","La tienda especificada es inválida"
"Invalid store specified, skipping the record","La tienda especificada es inválida, se omite el registro"
"Inventory","Inventario"
"Is Default","Es por defecto"
"Is Required","Is Required"
"Items %s to %s of %s total","Artículos %s a %s de %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quiere mostrar en el catálogo o en los resultados de las búsquedas deben tener como estado 'Deshabilitado' en la tienda deseada."
"Keyboard Light","Luz en el teclado"
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Ultima notificación"
"Learn More","Saber más"
"Leaves Design","Diseño de Páginas"
"Leaves Number","Número de Páginas"
"Length of text is too long","Length of text is too long"
"Letters","Cartas"
"Letters(a-zA-Z) or Numbers(0-9)","Letras (a-zA-Z) o Números (0-9)"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, código: %s"
"Line Width","Ancho de Línea"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Lista"
"List Mode","Modo de la lista"
"Manage Attribute Sets","Gestionar los conjuntos de atributos"
"Manage Attributes","Gestionar los atributos"
"Manage Catalog Categories","Gestionar las categorías del catálogo"
"Manage Categories","Gestionar las categorías"
"Manage Label / Options","Gestionar las etiquetas / opciones"
"Manage Options (values of your attribute)","Administrar Opciones (valores de sus atributos)"
"Manage Product Attributes","Gestionar los atributos del producto"
"Manage Product Sets","Gestionar los conjuntos del producto"
"Manage Products","Gestionar los productos"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Administrar Títulos (Tamaño, Color, etc.)"
"Manufacturer","Fabricante"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Imágenes de medios"
"Memory RAM","Memoria RAM"
"Memory RAM Type","Tipo de Memoria RAM"
"Microphone","Micrófono"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad minima para que el estado del artículo sea ""sin existencias"""
"Missing SKU, skipping the record","Código perdido, se omite el registro"
"Model","Modelo"
"More Views","Más vistas"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Selección múltiple"
"Name","Nombre"
"Name In %s","Nombre en %s"
"Name<br/>(For internal use)","Nombre<br/>(Para uso interno)"
"New Category","Nueva categoría"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo del producto"
"New Products","Nuevos productos"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre del conjunto"
"Next","Siguiente"
"No","No"
"No image","No hay imágen"
"No layout updates","Sin actualizaciones de layout"
"No options of this product are available.","No hay opciones de este producto disponibles."
"No product collections found","No se encontraron colecciones del producto"
"None","Ninguno"
"Not shared with other products","No compartido con otros productos"
"Notify Low Stock RSS","Notificar existencia baja por RSS"
"Notify for Quantity Below","Notificar para cantidad menor que"
"Nowhere","En ningún lugar"
"Number of Uses","Número de usos"
"Number of results<br/>(For last time placed)","Número de resultados<br/>(Ultima vez)"
"OR","O"
"Old Price:","Precio anterior:"
"Operating System","Sistema Operativo"
"Operation","Operación"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opción:"
"Options Control","Control de opciones"
"Options is required","Debe elegir la opción"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Fuera de existencia"
"Out of stock","Fuera de existencia"
"Out of stock.","Fuera de existencia."
"PM","PM"
"Page Title Separator","Separador del título de la página"
"Page:","Página:"
"Parent Category","Categoría padre"
"Pending","Pendiente"
"Pending Reviews RSS","Comentarios pendientes por RSS"
"Percentage","Porcentaje"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Por favor, presione el botón 'Cerrar ventana' si no se cierra automáticamente"
"Please enter a new group name","Por favor, escriba un nuevo nombre de grupo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Por favor, seleccione uno o más atributos"
"Please select product(s)","Por favor seleccione producto(s)"
"Please select products for attributes update","Por favor, seleccione productos para la actualización de los atributos"
"Please select static block ...","Por favor, seleccione un bloque estático  ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product\'s option(s).","Por favor especifique las opciones del producto."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Ports","Puertos"
"Position","Posición"
"Position In Layered Navigation","Posición en la navegación por capas"
"Position of attribute in layered navigation block","Posición del atributo en el bloque de navegación por capas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Precio"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Los valores de precio para las opciones deben especificarse en la moneda base del sistema."
"Price:","Precio:"
"Print This Page","Imprimir esta página"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al grabar la colección, cancelando. Error: %s"
"Processor","Procesador"
"Product","Product"
"Product %s successfully added to compare list","El producto %s fue agregado con éxito a la lista de comparación"
"Product %s successfully removed from compare list","El producto %s fue quitado con éxito de la lista de comparación"
"Product API","Product API"
"Product Alerts","Alertas del producto"
"Product Attribute","Atributo del producto"
"Product Attributes","Atributos del producto"
"Product Categories","Categorías del producto"
"Product Description","Descripción del producto"
"Product Image Placeholders","Contenedores para las imágenes de los productos"
"Product Image Watermarks","Marcas de agua para las imágenes de los productos"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Productos en los Sitios Web"
"Product Info Column","Product Info Column"
"Product Information","Información del producto"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios del producto "
"Product Tags","Etiquetas del producto"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tipo de producto"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","El atributo del producto fue borrado con éxito"
"Product attribute was successfully saved","El atributo del producto fue grabado con éxito"
"Product attributes API","Product attributes API"
"Product collection expected","Se esperaba una colección de producto"
"Product deleted","Producto borrado"
"Product duplicated","Producto duplicado"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Error al grabar el producto"
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","El producto fue creado con éxito."
"Product was successfully saved.","El producto fue grabado con éxito."
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociado a configurable."
"Products","Productos"
"Products Information","Información Productos"
"Products Reviews","Comentarios de los productos"
"Products Sitemap","Mapa del sitio para Productos"
"Products only","Sólo Productos"
"Products per Page on Grid default value","Valor por defecto de productos por página en vista de cuadrícula"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Valor por defecto de productos por página en vista de lista"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Propiedades"
"Qty","Cant."
"Quantity","Cantidad"
"Quantity Index Dividers","Cantidad de Separadores"
"Qty Uses Decimals","La cantidad usa decimales"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Creación rápida"
"Quick View","Vista rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de producto simple"
"Recording","Grabación"
"Records for ""","Registros por """
"Redirect","Redireccionar"
"Redirect URL","URL de redireccionamiento"
"Regular Price:","Precio regular:"
"Related Products","Productos relacionados"
"Remove","Eliminar"
"Remove Product","Quitar producto"
"Remove Product From Websites","Eliminar el producto de los websites"
"Remove This Item","Quitar este artículo"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Requerido"
"Reset","Reiniciar"
"Results","Resultados"
"Retractable","Retráctil"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","El comentario fue borrado con éxito"
"Review was saved successfully","El comentario fue grabado con éxito"
"Review was successfully saved","El comentario fue grabado con éxito"
"Reviews","Opiniones"
"Rings","Argollas"
"Roll Over for preview","Pasar el mouse para una vista previa"
"Root","Raiz"
"SKU","Código"
"Save","Guardar"
"Save And Continue Edit","Guardar y continuar editando"
"Save Attribute","Guardar el atributo"
"Save Attribute Set","Guardar el conjunto de atributos"
"Save Category","Guardar la categoría"
"Save Search","Guardar la búsqueda"
"Saved ","Guardado"
"Scope","Alcance"
"Screen Resolucion","Resolución de Pantalla"
"Screen Size","Tamaño de la Pantalla"
"Screen Type","Tipo de Pantalla"
"Search","Búsqueda"
"Search Engine Optimizations","Optimizaciones para el motor de búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de búsqueda"
"Search Term was successfully saved","El término de búsqueda fue grabado con éxito"
"Search Term with such search query already exist.","El término de búsqueda con dicha consulta de búsqueda ya existe."
"Search was successfully deleted","La búsqueda fue borrada con éxito"
"Searchable","Buscable"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Tipos de productos seleccionados"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Enviar conteo"
"Set Ascending Direction","Configurar sentido ascendente"
"Set Descending Direction","Configurar sentido descendente"
"Set Name","Nombre del conjunto"
"Set Root Category For Store","Configurar la categoría raíz para la tienda"
"Set root category for this store in the <a href=""%s"">configuration</a>","Colocar la categoría raiz para esta tienda en la <a href=""%s"">configuración</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Configuraciones"
"Sew","Cose"
"Shop by","Comprar por"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Producto simple"
"Site Map","Mapa del sitio"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Omitir la fila de importación, no es un valor válido ""%s"" para el campo ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Omitir la fila de importación, el campo requerido ""%s"" para el nuevo cliente no está definido"
"Skip import row, required field ""%s"" for new products not defined","Omitir la fila de importación, el campo requerido ""%s"" para los nuevos productos no está definido"
"Skip import row, required field ""%s"" not defined","Omitir la fila de importación, el campo requerido ""%s"" no está; definido"
"Skip import row, store ""%s"" field not exists","Omitir la fila de importación, el campo de la tienda ""%s"" no existe"
"Sort Order","Orden de clasificación"
"Sort by","Ordenar por"
"Sort By","Ordenar por"
"Source Model","Origen del modelo"
"Speakers","Parlantes"
"Special Price:","Precio especial:"
"Starting at:","Comenzando desde:"
"Static","Estático"
"Static block and products","Bloque estático y productos"
"Static block only","Bloque estático solamente"
"Status","Estado"
"Stock Availability","Disponibilidad Inventario"
"Store","Tienda"
"Store View","Vista Tienda"
"Stretch","Estiramiento"
"Subscribe to Feed","Suscribirse al feed RSS"
"Subscribe to RSS Feed","Suscribirse al feed RSS"
"Super product attributes configuration","Configuración de los atributos de super productos"
"Surface","Superficie"
"Synonym For","Sinónimo Para"
"Synonym for","Sinónimo Para"
"System","Sistema"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de la etiqueta"
"Tax","Tax"
"Text","Texto"
"Text Area","Area de texto"
"Text Field","Campo de texto"
"The product %s has been added to comparison list.","El producto %s ha sido agregado a la lista de comparación."
"The product %s has been removed from comparison list.","El producto %s ha sido quitado de la lista de comparación."
"The product attribute has been deleted.","El atributo del producto ha sido borrado."
"The product attribute has been saved.","El atributo del producto attribute ha sido guardado."
"The product has been created.","El producto ha sido creado."
"The product has been deleted.","El producto ha sido eliminado."
"The product has been duplicated.","El producto ha sido duplicado."
"The product has been saved.","El producto ha sido guardado."
"The product has required options","El producto tiene opciones requeridas"
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"There was an error while adding products to websites","Hubo un error al agregar productos a los websites"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Hubo un error al eliminar productos de los websites"
"There was an error while updating product(s) attributes","Se produjo un error mientras se actualizaban los atributos de producto(s)"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"Thick Tip","Grosor de la Punta"
"This attribute no longer exists","Este atributo no existe más"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Traslade los atributos del sistema a otro grupo e intente nuevamente."
"This is a required option","This is a required option"
"This search no longer exists","Esta búsqueda no existe más"
"Tier Pricing","Precio escalonado"
"Tile","Título"
"Time format","Time format"
"Tip Type","Tipo de Punta"
"Title","Title"
"Top/Left","Arriba/Izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Un total de %d registro(s) fueron borrados con &eacute;xito"
"Total of %d record(s) were successfully updated","Un total de %d registro(s) fueron actualizados con &eacute;xito"
"Type","Tipo"
"Unable to complete request. Please try again later.","No es posible completar su solicitud. Por favor, intente más tarde."
"Unable to find a search term to delete","No se encuentra un término de búsqueda para borrar"
"Unable to find an attribute to delete","No se encuentra un atributo para borrar"
"Unable to get product id.","No se puede obtener el ID del producto."
"Unassigned Attributes","Atributos sin asignar"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor &uacute;nico (no compartido con otros productos)"
"Unit Volume","Volumen Unitario"
"Units","Presentación"
"Unknown attribute: %s","Atributo desconocido: %s"
"Up-sells","Ventas sugeridas"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Actualizar atributos"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","URL"
"Url Rewrite Management","Gestionar la reescritura de URL"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Usar las configuraciones de Config"
"Use Default Value","Usar el valor por defecto"
"Use Flat Catalog Category","Use Flat Catalog Category"
