"%s was successfully added to your shopping cart.","%s fue agregado con éxito al carrito de compras."
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Imagen del producto configurable"
"Confirm Password","Confirmar la contraseña"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar hacia la información de facturación"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue to Shipping Information","Continuar a la información de envío"
"Country","País"
"Coupon code was canceled.","El código del cupón fue cancelado."
"Coupon code ""%s"" is not valid.","El código del cupón ""%s"" no es válido."
"Coupon code ""%s"" was applied successfully.","El código del cupón ""%s"" fue aplicado con éxito."
"Coupon code ""%s"" was applied.","El código del cupón ""%s"" fue aplicado."
"Coupon code was canceled successfully.","El código del cupón fue cancelado con éxito."
"Create Billing Address","Crear una dirección de facturación"
"Create Shipping Address","Crear una dirección de envío"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Problema al grabar los datos"
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar resumen del carrito"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Mostrar las cantidades de los artículos"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Edit","Editar"
"Edit Address","Editar la dirección"
"Edit Billing Address","Editar la información de facturación"
"Edit Items","Editar los artículos"
"Edit item","Editar artículo"
"Edit item parameters","Editar parametros del artículo"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Editar su carrito"
"Email Address","Dirección de correo electrónico"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Compra rápida y fácil"
"Fax","Fax"
"Forgot an Item?","Olvidó un artículo?"
"Forgot your password?","Olvidó su contraseña?"
"Get a Quote","Obtener un presupuesto"
"Grand Total:","Suma total:"
"Grouped product image","Imagen del producto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Información inválida"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Método de envío inválido"
"Items","Artículos"
"Load customer quote error","Error al cargar el presupuesto del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Acceder"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","La máxima cantidad para envíos a direcciones múltiples es  %s"
"Minimum order amount is %s","El valor minimo de la orden es de %s"
"Move to Wishlist","Trasladar a la lista de deseos"
"My Account","Mi cuenta"
"My Cart","My Cart"
"My Cart (%s item)","Mi Carrito (%s artículo)"
"My Cart (%s items)","Mi Carrito (%s artículos)"
"My Cart Link","Mi enlace al carrito"
"New Address","Nueva dirección"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Revisión del Pedido"
"Order Success","Pedido exitoso"
"Other items in your order","Other items in your order"
"Password","Contraseña"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Realizar el Pedido"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continúe comprando</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, ingrese un código postal válido."
"Please log in below:","Por favor acceda:"
"Please select region, state or province","Seleccione una región, estado o provincia"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Por favor, seleccione métodos de envío para todas las direcciones "
"Price","Precio"
"Proceed to Checkout","Realizar Pedido"
"Product","Producto"
"Product Name","Nombre del producto"
"Product does not exist","El producto no exixte"
"Qty","Cantidad"
"Quote Lifetime (days)","Validez de la cotizaci&oacute;n (d&iacute;as)"
"Recently added item(s)","Artículo(s) añadidos recientemente"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese para su conveniencia:"
"Remove","Quitar"
"Remove item","Quitar el artículo"
"Remove Product","Quitar el producto"
"Review Order","Revisar el Pedido"
"Review Order - %s","Revisar el Pedido - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Guardar en la libreta de direcciones"
"Select Address","Seleccione la dirección"
"Select Addresses","Seleccione las direcciones"
"Select Shipping Method","Seleccione el método de envío"
"Select State/Province...","Seleccione el Departamento..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o ingrese una nueva dirección."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Enviar a"
"Ship to Multiple Addresses","Enviar a direcciones múltiples"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección del envío"
"Shipping Information","Información del envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping method has not been selected yet","El método de envío no ha sido seleccionado todavía"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Enviar a "
"Shopping Cart","Carrito de compras"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","El carrito de compras esta vacío"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Algunos de los artículos solicitados no están disponibles en la cantidad deseada"
"Some of the products you requested are unavailable","Algunos de los artículos solicitados no están disponibles"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay presupuestos disponibles para este Pedido en este momento."
"State/Province","Departamento"
"Status","Status"
"Store View","Store View"
"Street Address","Calle"
"Street Address ","Street Address "
"Submitting order information...","Enviando la información del Pedido…"
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal debe ser mayor al valor minimo de compra"
"Telephone","Teléfono"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Gracias por su compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s""><strong>%s artículos</strong></a> en su carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s""><strong>1 artículo</strong></a> en su carrito."
"There is already a customer registered using this email address","Ya existe un cliente registrado con esta dirección de correo electrónico"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, contacte con nosotros o inténtelo de nuevo más tarde."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total para esta dirección"
"Unit Price","Precio unitario"
"Update Qty &amp; Addresses","Actualizar la cantidad  &amp; Direcciones"
"Update Shopping Cart","Actualizar el carrito de compras"
"Update Total","Actualizar el total"
"Use Billing Address","Usar la dirección de facturación"
"View Cart", "Ver carrito"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su Pedido y en breve recibirá un correo electrónico con los detalles. Una vez que su Pedido sea despachado, recibirá otro correo con el número de seguimiento del envío."
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación de su Pedido con los detalles del mismo y un enlace para seguir todo el proceso."
"Your Checkout Progress","Su progreso en la caja"
"Your order # is: %s.","Su pedido es: %s."
"Your order # is: %s","Su pedido es: %s"
"Your order # is: <a href=""%s"">%s</a>","N�mero de Pedido es: <a href=""%s"">%s</a>"
"Your order has been received.","Su pedido ha sido recibido."
"Your order number is ","Your order number is "
"Zip/Postal Code","Código postal"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Mi carrito"
"Click <a href=""%s"">here</a> to continue shopping.","Haga clic <a href=""%s"">aca</a> para continuar comprando."
"%s was added to your shopping cart.","%s se ha agregado al carrito de compras."
